"UUID du flux";"Nom du flux";Commentaire;Type;"Catégorie 1";"Catégorie 2";"Catégorie 3";"Quantité de référence";Unité
"Flow UUID";"Flow name";Comment;Type;"Category 1";"Category 2";"Category 3";"Reference quantity";Unit
4f1a1824-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
fd701d25-62f5-41d6-963b-2d928e755b78;"printing ink";;"Product flow";;;;1;kg
4f19f126-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
42cdf8d5-d6cf-42e9-8a3d-7abe7cb95282;"energy (recovered)";;"Product flow";;;;1;MJ
4f1a3f32-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of biodegradable waste fraction in municipal solid waste (MSW)";;"Product flow";;;;1;kg
ede5b226-74c2-43d3-a09b-adac99249a77;"Chemicals (unspecified)";;"Product flow";;;;1;kg
4f1a1826-7b3b-11dd-ad8b-0800200c9a66;"process steam from heavy fuel oil";;"Product flow";;;;1;MJ
664a3b7e-54d5-4d54-8910-6cbac2a7c4ab;Slag;;"Product flow";;;;1;kg
4f19f123-7b3b-11dd-ad8b-0800200c9a66;"portland cement (CEM I)";;"Product flow";;;;1;kg
4f19f112-7b3b-11dd-ad8b-0800200c9a66;"polyamide 6.6 fibres (PA 6.6)";;"Product flow";;;;1;kg
4f19f127-7b3b-11dd-ad8b-0800200c9a66;"compressed air";;"Product flow";;;;1;m3
4f19f115-7b3b-11dd-ad8b-0800200c9a66;"polyethylene high density granulate (PE-HD)";;"Product flow";;;;1;kg
c5a6072c-830d-4207-a553-deb95d4cb70b;"process steam from waste incineration";;"Product flow";;;;1;MJ
1146755a-1e94-4198-9c63-0bb6c52a428c;"Natural gas, at consumer EU-27";;"Product flow";"Valuable substances";"Energy carrier";Fuels;1;kg
53afe53a-7bbc-4b82-8e39-df2c6bbb2c46;"Heavy fuel oil (1.0 wt.% S)";;"Product flow";"Valuable substances";"Energy carrier";Fuels;1;kg
3d76a1c4-d3d5-4f4a-8f19-2105511a4488;"secondary fuel renewable";;"Product flow";;;;1;MJ
4f19f11d-7b3b-11dd-ad8b-0800200c9a66;"polypropylene granulate (PP)";;"Product flow";;;;1;kg
4f1a3f30-7b3b-11dd-ad8b-0800200c9a66;"transport in t*km";;"Product flow";;;;1;t*km
e9fd08fb-8067-4d90-91e3-4c92fc1803f7;cargo;;"Product flow";;;;1;kg
4f197bee-7b3b-11dd-ad8b-0800200c9a66;"crushed stone 16/32";;"Product flow";;;;1;kg
4f19a300-7b3b-11dd-ad8b-0800200c9a66;heat;;"Product flow";;;;1;MJ
4f1a3f3a-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of plastics (PET, PMMA, PC)";;"Product flow";;;;1;kg
4f197beb-7b3b-11dd-ad8b-0800200c9a66;"copper wire";;"Product flow";;;;1;kg
4f19a2fb-7b3b-11dd-ad8b-0800200c9a66;"gravel 2/32";;"Product flow";;;;1;kg
9f723736-35c3-4218-8dbe-a1331f56be46;"Light fuel oil";;"Product flow";"Valuable substances";"Energy carrier";Fuels;1;kg
